Item,Description,# of Sets,#Pcs / Set,Price/Set (CAD), Item Total Price + Tax (CAD) ,Supplier,URL
Megaboard PCB Printing with JLCPCB,PCB,1,5, CA$ 74.14 , CA$ 74.14 ,JLCPCB,https://www.image2url.com/r2/default/images/1787281754924-a4b9c82d-16b0-4f53-8ab6-74d56214aa52.png
Raspberry pi PICO - TYPE-C Welding,Microcontroller,1,1, CA$ 3.79 , CA$ 3.79 ,Aliexpress,https://www.aliexpress.com/item/1005006054409042.html?invitationCode=UTdBM09kVTB1YW1lR3ZwVXpLbTBQbUU3Z2JCODNJR3l4OVQ1ckpmNCtWT2VQemFTZUJrNWVWT0s1MU1hdTAyWg&srcSns=sns_Copy&spreadType=socialShare&social_params=22171631605&bizType=ProductDetail&spreadCode=UTdBM09kVTB1YW1lR3ZwVXpLbTBQbUU3Z2JCODNJR3l4OVQ1ckpmNCtWT2VQemFTZUJrNWVWT0s1MU1hdTAyWg&aff_fcid=b809439fab4b42d6a58bad9d7705c3d0-1787280438495-03172-_mOFHYjz&tt=MG&aff_fsk=_mOFHYjz&aff_platform=default&sk=_mOFHYjz&aff_trace_key=b809439fab4b42d6a58bad9d7705c3d0-1787280438495-03172-_mOFHYjz&shareId=22171631605&businessType=ProductDetail&platform=AE&terminal_id=86b3e17e6ba74ef7b5b0f79f86e800f7&afSmartRedirect=y
Rotary Encoder EC11 - 20MM Half handle,Rotary Encoder,1,5, CA$ 3.69 , CA$ 3.69 ,Aliexpress,https://www.aliexpress.com/item/1005003311823755.html?spm=a2g0o.productlist.main.1.4577JPyOJPyO6p&algo_pvid=ebf0ef4a-4603-4b4e-a078-085a7f75f6ba&algo_exp_id=ebf0ef4a-4603-4b4e-a078-085a7f75f6ba-0&pdp_ext_f=%7B%22order%22%3A%2232%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.13%212.13%21%21%211.51%211.51%21%402101ca9517872827627008128e0ff5%2112000025148016241%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adfeb2caa%3Bm03_new_user%3A-29895&curPageLogUid=QS5ju9qMrH8s&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003311823755%7C_p_origin_prod%3A
Amplifier Knob for Rotary Encoder - 15X13mm D,Rotary Encoder Cap,1,2, CA$ 5.14 , CA$ 5.14 ,Aliexpress,https://www.aliexpress.com/item/1005010050008311.html?spm=a2g0o.productlist.main.2.640aWyB0WyB0C9&algo_pvid=efd28b49-f0f2-4a1c-b473-3624e4b5d481&algo_exp_id=efd28b49-f0f2-4a1c-b473-3624e4b5d481-1&pdp_ext_f=%7B%22order%22%3A%22140%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%215.09%214.54%21%21%2124.30%2121.67%21%402101c4b817872854824897444e0ff0%2112000051767414703%21sea%21CA%218080657096%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adfeb2caa%3Bm03_new_user%3A-29895&curPageLogUid=igsLih5vm9Xn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010050008311%7C_p_origin_prod%3A
Kailh Hot-swappable PCB Socket CPG151101S11,Khail hot swap sockets,1,110, CA$ 15.18 , CA$ 15.18 ,Aliexpress,https://www.aliexpress.com/item/1005008954571807.html?spm=a2g0o.productlist.main.10.40e9xPlhxPlhVj&algo_pvid=30fd98c4-98f5-417e-a7a7-eaa343d12da0&algo_exp_id=30fd98c4-98f5-417e-a7a7-eaa343d12da0-9&pdp_ext_f=%7B%22order%22%3A%22540%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2112.24%216.11%21%21%2158.40%2129.15%21%402103138417872906185541078e0c8b%2112000047352129246%21sea%21CA%218080657096%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adfeb2caa%3Bm03_new_user%3A-29895%3BpisId%3A5000000211455027&curPageLogUid=HqresNy6rcKK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008954571807%7C_p_origin_prod%3A
Akko V3 Pro Cream Blue Switch 5 Pin 45gf Tactile Switch,MX Style switches,3,45, CA$ 13.80 , CA$ 41.40 ,Aliexpress,https://www.aliexpress.com/item/1005006382591392.html?spm=a2g0o.productlist.main.19.69dd4e60ZXaJS7&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005006382591392%7C_p_origin_prod%3A&algo_pvid=8f331425-31aa-4983-81e4-a3da90d7c3e6&algo_exp_id=8f331425-31aa-4983-81e4-a3da90d7c3e6&pdp_ext_f=%7B%22order%22%3A%22607%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2144.18%2113.80%21%21%21210.78%2165.82%21%402101e75417872895960688615e0e39%2112000036975437800%21sea%21CA%218080657096%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adfeb2caa%3Bm03_new_user%3A-29895%3BpisId%3A5000000210855951
Womier Keycap Double Shot Cherry Profile Key Caps - HHQ-cherry,MX Style Keycaps,1,138, CA$ 16.08 , CA$ 16.08 ,Aliexpress,https://www.aliexpress.com/item/1005007361029415.html?spm=a2g0o.productlist.main.19.1aa63e28arHZtr&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005007361029415%7C_p_origin_prod%3A&algo_pvid=69239aa4-5888-4286-a301-b25d505622fa&algo_exp_id=69239aa4-5888-4286-a301-b25d505622fa&pdp_ext_f=%7B%22order%22%3A%221400%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2141.16%2116.08%21%21%2129.21%2111.41%21%40210328c017872902546028291e0db7%2112000057739286319%21sea%21CA%218080657096%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adfeb2caa%3Bm03_new_user%3A-29895%3BpisId%3A5000000210855951
PCB clips Original Cherry MX Stabilizers - 6.25u 7-2u For 104,MX Style Stabalizers,1,8, CA$ 13.66 , CA$ 13.66 ,Aliexpress,https://www.aliexpress.com/item/1005011961905061.html?pdp_ext_f=%7B%22order%22%3A%224%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D
Fast Switching Schottky Diode 1N4148 DO-35 - 200pcs 1N4148,Per Switch Diodes,1,200, CA$ 5.75 , CA$ 5.75 ,Aliexpress,https://www.aliexpress.com/item/1005007131309837.html?spm=a2g0o.productlist.main.11.3f1esBFCsBFC35&algo_pvid=a4042887-f0e4-4cd0-b269-b8a09497abbd&algo_exp_id=a4042887-f0e4-4cd0-b269-b8a09497abbd-10&pdp_ext_f=%7B%22order%22%3A%22334%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%217.06%214.58%21%21%2133.70%2121.85%21%402101de2517872935888194557e0c5a%2112000039509276484%21sea%21CA%218080657096%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adfeb2caa%3Bm03_new_user%3A-29895%3BpisId%3A5000000211455027&curPageLogUid=L4ovv0jBEVPp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007131309837%7C_p_origin_prod%3A
Brass Copper Embedment Insert Nut Kit Set - M2 400pcs,Brass Inserts For Case,1,400, CA$ 4.04 , CA$ 4.04 ,Aliexpress,https://www.aliexpress.com/item/1005007830343925.html?spm=a2g0o.productlist.main.4.41f9OUMoOUMo4L&aem_p4p_detail=202608202355411599088991606330000436343&algo_pvid=e7d38382-1b3b-44d3-bc32-0ce78a3b0748&algo_exp_id=e7d38382-1b3b-44d3-bc32-0ce78a3b0748-3&pdp_ext_f=%7B%22order%22%3A%221447%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2111.64%214.04%21%21%218.26%212.86%21%402103129017872953416811613e1003%2112000042371868440%21sea%21CA%218080657096%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adfeb2caa%3Bm03_new_user%3A-29895%3BpisId%3A5000000210855951&curPageLogUid=LVBc6Fwv6Kcg&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007830343925%7C_p_origin_prod%3A&search_p4p_id=202608202355411599088991606330000436343_1
